Country.Name,Continent,X1970,X1980,X1990,X2000,X2010,X2015,X2019,X2022.Population,X2020.Population,X2015.Population,X2010.Population,X2000.Population,X1990.Population,X1980.Population,X1970.Population,Area..km...,Density..per.km...,Growth.Rate,World.Population.Percentage
Switzerland,Europe,24274075006,1.19E+11,2.58E+11,2.72E+11,5.84E+11,6.80E+11,7.03E+11,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,211.7157,1.0056,0.11
Chile,South America,9126309735,29036709872,33113887818,77860932152,2.19E+11,2.44E+11,2.82E+11,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102,25.9274,1.0057,0.25
China,Asia,92602973434,1.91E+11,3.61E+11,1.21E+12,6.09E+12,1.11E+13,1.43E+13,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,146.8933,1,17.88
Cote d'Ivoire,Africa,1455482990,10175615442,10795850107,10717022463,24908781285,45814637971,58539424930,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,87.3295,1.0248,0.35
Cameroon,Africa,1160002261,6740756569,11151578051,10083937740,26169323293,30928653814,39007354359,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,475442,58.7128,1.0263,0.35
"Congo, Dem. Rep.",Africa,4877684910,14394927495,9349764580,19088046306,21565720044,37917704900,50400746171,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,2344858,42.2244,1.0325,1.24
"Congo, Rep.",Africa,274960699.9,1705796850,2798746051,3219910550,13148395202,11953249530,12267392147,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,17.4574,1.0231,0.07
Colombia,South America,7198360460,33400735644,47844090710,99886577331,2.87E+11,2.93E+11,3.24E+11,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748,45.4339,1.0069,0.65
Comoros,Africa,NA,212218226.4,429622147.7,350264287.7,907978723.5,966029542,1165839927,836774,806166,730216,656024,536758,431119,328328,242351,1862,449.3953,1.0184,0.01
Cabo Verde,Africa,NA,142246875.5,306891107.3,539227277.6,1664310770,1596800287,1981845740,593149,582640,552166,521212,458251,364563,317234,287262,4033,147.0739,1.0089,0.01
